osm_id,code,fclass,name,latitude,longitude
"6264756305","5621",bus_stop,Annexe Municipal,30.423,-9.587
"6264756306","5621",bus_stop,Annexe Municipal,30.423,-9.587
"6264756307","5621",bus_stop,Avenue Saadi Consulat De France,30.422,-9.584
"6264756308","5621",bus_stop,Avenue Saadi Consulat De France,30.422,-9.585
"6264756309","5621",bus_stop,20 Novembre Istat - Centre De Diagnostic,30.42,-9.587
"6264756310","5621",bus_stop,20 Novembre Istat - Centre De Diagnostic,30.42,-9.586
"6264756311","5621",bus_stop,Av Marrakech Hotel De Police,30.418,-9.590
"6264756312","5621",bus_stop,Av Marrakech Hotel De Police,30.417,-9.590
"6264756313","5621",bus_stop,Av Marrakech Eglise,30.415,-9.588
"6264756314","5621",bus_stop,Av Marrakech Eglise,30.414,-9.588
"6264756315","5621",bus_stop,Mouquaouama Cinema Salam,30.412,-9.590
"6265297721","5621",bus_stop,Aghesdis,30.429,-9.634
"6265297722","5621",bus_stop,Aghesdis,30.429,-9.634
"6265297723","5621",bus_stop,Kieni,30.434,-9.639
"6265297724","5621",bus_stop,Ridaga,30.436,-9.643
"6265297725","5621",bus_stop,Ridaga,30.437,-9.643
"6265297726","5621",bus_stop,Magreb Oxygene,30.441,-9.647
"6265297727","5621",bus_stop,Hay El Amal,30.446,-9.651
"6265297728","5621",bus_stop,Annexe Municipal Anza,30.445,-9.655
"6265297729","5621",bus_stop,Annexe Municipal Anza,30.445,-9.655
"6265297730","5621",bus_stop,Arrondissement Anza,30.448,-9.659
"6265297731","5621",bus_stop,Cimenterie Anza,30.45,-9.658
"6265297732","5621",bus_stop,El Hassania Stade,30.456,-9.660
"6265297733","5621",bus_stop,El Hassania Stade,30.458,-9.661
"6265297734","5621",bus_stop,Entree Ait El Mouden,30.438,-9.549
"6265297735","5621",bus_stop,Mondial Paramedical,30.433,-9.553
"6265297736","5621",bus_stop,Lotissement Afoulki,30.43,-9.556
"6265297737","5621",bus_stop,Av Moukaouama La Cossa,30.413,-9.588
"6265297738","5621",bus_stop,Hay Hassani,30.415,-9.584
"6265297739","5621",bus_stop,Moukawama Qi,30.416,-9.581
"6265297740","5621",bus_stop,Moukawama Qi,30.416,-9.581
"6265297741","5621",bus_stop,Souk El Had Entree 6,30.414,-9.578
"6265297742","5621",bus_stop,Souk El Had Entree 6,30.414,-9.578
"6265297743","5621",bus_stop,Laazib Moulay Rachid,30.415,-9.574
"6265297744","5621",bus_stop,Laazib Moulay Rachid,30.415,-9.574
"6265297745","5621",bus_stop,Marche Des Poissons,30.415,-9.568
"6265297746","5621",bus_stop,Marche Des Poissons,30.416,-9.568
"6265297747","5621",bus_stop,Gare Routiere,30.417,-9.566
"6265297748","5621",bus_stop,Gare Routiere,30.417,-9.566
"6265297749","5621",bus_stop,Zerktouni -Erac - Afoulki,30.418,-9.564
"6265297750","5621",bus_stop,Zerktouni -Erac - Afoulki,30.418,-9.564
"6265297751","5621",bus_stop,Entree Hay Mohammadi,30.428,-9.556
"6265297752","5621",bus_stop,Entree Hay Mohammadi,30.428,-9.557
"6265297753","5621",bus_stop,Lotissement Afoulki,30.43,-9.556
"6265297754","5621",bus_stop,Cafe Kenya,30.432,-9.556
"6265297755","5621",bus_stop,Cafe Kenya,30.432,-9.557
"6265297756","5621",bus_stop,4Eme Arrondissement,30.433,-9.555
"6265297757","5621",bus_stop,4Eme Arrondissement,30.433,-9.555
"6265297758","5621",bus_stop,Mondial Paramedical,30.433,-9.553
"6265297759","5621",bus_stop,Entree Ait El Mouden,30.438,-9.549
"6265297760","5621",bus_stop,Reservoir Onep - Les Piemonts,30.441,-9.553
"6265297761","5621",bus_stop,Reservoir Onep - Les Piemonts,30.44,-9.553
"6265297764","5621",bus_stop,Ait El Mouden Trminus,30.444,-9.557
"6265662499","5621",bus_stop,Poste Inezgane Mesdoura,30.352,-9.538
"6265662500","5621",bus_stop,Art Urn Remel,30.355,-9.552
"6265662501","5621",bus_stop,Art Urn Remel,30.355,-9.553
"6265662502","5621",bus_stop,Remel 2,30.357,-9.550
"6265662503","5621",bus_stop,Remel 2,30.357,-9.550
"6265662504","5621",bus_stop,Remel Conservation,30.363,-9.547
"6265662505","5621",bus_stop,Remel Conservation,30.363,-9.547
"6265662506","5621",bus_stop,Poste Inegane,30.358,-9.532
"6265662507","5621",bus_stop,Pharmaie Taj,30.352,-9.541
"6265662508","5621",bus_stop,Pharmaie Taj,30.352,-9.541
"6265662509","5621",bus_stop,Hamam Adrar,30.353,-9.545
"6265662510","5621",bus_stop,Hamam Adrar,30.353,-9.545
"6265662511","5621",bus_stop,Targa,30.352,-9.548
"6265662512","5621",bus_stop,Targa,30.352,-9.548
"6265662513","5621",bus_stop,Croissant Rouge,30.352,-9.552
"6265662514","5621",bus_stop,Croissant Rouge,30.352,-9.551
"6265662515","5621",bus_stop,La Khchichat,30.352,-9.555
"6265662516","5621",bus_stop,La Khchichat,30.352,-9.555
"6265662517","5621",bus_stop,El Hajeb Marche Municipal,30.375,-9.491
"6265662518","5621",bus_stop,El Hajeb Marche Municipal,30.375,-9.491
"6265662519","5621",bus_stop,El Hajeb Tikiouine,30.376,-9.495
"6265662520","5621",bus_stop,El Hajeb Tikiouine,30.376,-9.495
"6265662521","5621",bus_stop,Toudart 2 Mars,30.378,-9.498
